,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2000,9.3,9.6,10.1,13.2,18.0,22,25.1,24.7,21.8,16.9,12.6,10.0
2001,9.1,9.2,10.0,12.6,17.7,22,24.9,24.6,21.4,16.5,12.3,9.8
2002,9.5,9.7,10.5,13.4,18.2,23,25.5,25.1,22.1,17.3,12.9,10.4
2003,9.0,9.4,10.2,12.8,17.9,22,25.1,24.9,21.8,16.8,12.5,10.1
2004,9.2,9.5,10.3,13.0,18.1,22,25.3,25.0,21.9,16.9,12.6,10.1
2005,9.4,9.8,10.6,13.5,18.4,23,25.6,25.3,22.3,17.5,13.0,10.5
2006,8.2,7.9,9.1,11.8,15.6,19.6,23.1,23.3,20.3,16.6,12.4,9.5
2007,7.5,7.4,9.5,11.9,15.7,19.1,23.5,23.7,20.2,16.1,12.8,9.4
2008,7.8,8.1,9.3,12.5,15.4,19.5,22.7,23.5,20.4,15.9,12.1,9.2
2009,8.1,8.0,9.6,12.1,16.0,20.0,23.6,23.8,20.1,16.3,12.6,9.7
2010,7.7,8.3,9.9,11.8,16.2,19.7,22.8,23.2,20.0,16.1,12.0,9.1
2011,7.9,8.2,9.5,11.7,15.5,19.8,23.0,23.9,20.5,16.7,12.5,9.2
2012,7.4,8.1,9.8,11.6,16.4,20.3,23.3,23.6,20.3,15.7,12.4,9.6
2013,8.0,7.9,9.7,12.0,16.3,19.9,22.8,23.7,20.6,16.2,12.1,9.0
2014,7.8,7.6,9.4,11.8,15.9,20.0,23.4,23.3,20.1,16.6,12.8,9.4
2015,7.3,8.0,9.3,12.2,16.0,20.1,23.7,23.9,20.7,16.3,11.8,9.3
2016,7.9,8.5,9.9,12.7,16.3,20.1,23.3,23.7,20.2,16.7,12.3,9.3
2017,7.8,8.1,9.7,12.1,16.3,20.3,23.7,24.0,20.7,16.2,12.7,9.5
2018,7.5,8.1,9.6,12.4,16.6,20.6,23.6,23.6,20.4,16.3,12.2,9.3
2019,8.0,7.9,9.8,12.1,16.4,19.9,22.8,23.9,20.7,16.4,12.4,8.9
2020,7.6,8.1,9.6,12.3,15.6,19.6,23.1,23.3,20.3,16.6,12.4,9.5
